time,temperature_2m,precipitation_hours (h),windspeed_10m,windgusts_10m,rain_sum (mm)
01-01-2020,15.3,17,9.8,23,7
02-01-2020,15.8,11,11.4,31.3,11.7
03-01-2020,16.6,7,8.2,31.7,2.3
04-01-2020,16.1,3,11.3,21.6,0.3
05-01-2020,13.9,0,13.7,29.9,0
06-01-2020,14.7,0,9.8,23,0
07-01-2020,17.1,0,10,23.4,0
08-01-2020,17.4,11,16.9,40.7,14.2
09-01-2020,15.4,0,14.7,34.2,0
10-01-2020,12.2,0,14.2,27.4,0
11-01-2020,12.5,0,9.2,18,0
12-01-2020,14.7,0,8.2,14.4,0
13-01-2020,16.5,0,10.3,24.5,0
14-01-2020,17.9,0,8.3,21.6,0
15-01-2020,18.2,0,14,30.6,0
16-01-2020,18.1,1,20.1,43.6,0.1
17-01-2020,17.1,2,9.6,18,0.4
18-01-2020,17.1,4,10.8,23.8,0.4
19-01-2020,16.5,0,15.5,33.8,0
20-01-2020,15.5,0,11.4,23,0
21-01-2020,18.1,0,12.1,28.4,0
22-01-2020,19.5,4,11.5,33.5,1.3
23-01-2020,17.9,0,12.1,25.2,0
24-01-2020,17.2,0,9.9,23.8,0
25-01-2020,17.3,0,11.5,26.3,0
26-01-2020,17.6,0,8.8,22.7,0
27-01-2020,19.1,0,12.4,28.1,0
28-01-2020,20,3,16.4,37.1,0.4
29-01-2020,17.5,0,12,27,0
30-01-2020,16,0,15.6,30.2,0
31-01-2020,15.2,0,11.1,25.6,0
01-02-2020,16.2,0,13.1,28.4,0
02-02-2020,16.7,0,13.8,27.4,0
03-02-2020,16.8,2,10,24.8,0.2
04-02-2020,17.4,8,11.6,38.5,4.3
05-02-2020,17.8,0,11.5,24.8,0
06-02-2020,17.7,10,11,29.9,6
07-02-2020,17.4,10,8.8,25.2,3.1
08-02-2020,16.4,0,18,38.5,0
09-02-2020,15.4,0,16.1,31.7,0
10-02-2020,15.9,0,10,22.3,0
11-02-2020,17.8,0,7.4,21.2,0
12-02-2020,19.1,0,9.8,22.7,0
13-02-2020,19.5,0,8.9,20.9,0
14-02-2020,20.5,0,12.8,28.8,0
15-02-2020,20.1,0,9.1,22.7,0
16-02-2020,20.2,0,9.8,20.9,0
17-02-2020,20.5,0,11.8,26.3,0
18-02-2020,20.1,0,9.2,20.5,0
19-02-2020,20.5,0,11.2,28.1,0
